i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totAdults,totAdults.lower,totAdults.upper,totN,totN.lower,totN.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
41,1,1,1,1,0.1,0.1,0.1,0.8889273002416722,0.7691414714977922,0.9541918875076248,122.08261684418676,27.21221567751612,250.02801423529954,222.10066962754064,103.0712424159543,364.7232856329494,392.82824084829184,174.2770825963005,665.5753123761054,0.9,median,qi,1973,Quintette Full,Reference
41,2,0.8947734861339939,0.616997954540964,1.3647642360356915,0.1388045232820347,0.06201598334776492,0.27638219142292336,0.8885473067001921,0.77079853543891,0.9519826786743587,194,89,325.14999999999986,216.5,100.94999999999999,366.04999999999995,347.9761683816736,154.73676409878712,637.5415649061513,0.9,median,qi,1974,Quintette Full,Reference
41,3,0.9771708053212564,0.6229888778634015,1.5291048377579481,0.13847900274354136,0.06264741081798547,0.27051749491841026,0.8857562365845694,0.7528808102016235,0.9501892876608117,189,87.94999999999999,321,213,97.89999999999998,366,340.08240056191147,151.55064547387488,629.6232012605092,0.9,median,qi,1975,Quintette Full,Reference
41,4,0.9952675213842279,0.6281030581907617,1.5340429434346607,0.13912191447377262,0.06091460776674545,0.27888913366119816,0.8886529405785716,0.752163006966027,0.9545078652648673,184,86.94999999999999,319,206.5,96,360,334.5655229386507,149.6145588751664,626.723010560987,0.9,median,qi,1976,Quintette Full,Reference
41,5,0.9678215800301406,0.6004592265935277,1.506745867229586,0.14011968474375452,0.05824257697168847,0.2774728868926215,0.8923409448285946,0.775481994170844,0.9567585490466574,180,85.94999999999999,317,202,95.94999999999999,347.04999999999995,319.18078914147225,147.13234379549692,611.0037345357745,0.9,median,qi,1977,Quintette Full,Reference
41,6,0.9954761721077812,0.6429847365362069,1.5151467758734685,0.13738714554194076,0.06201295071788063,0.2798644390290167,0.8929643868100454,0.7633112746037063,0.9528422749022898,178,86,306,199,93,343,323.41128314181975,147.08109044733726,601.0200309559148,0.9,median,qi,1978,Quintette Full,Reference
41,7,0.9695500760512239,0.6228177574263458,1.6203145480607206,0.1407146056878406,0.06130053848309229,0.28412527253182407,0.8900850834479136,0.7647290475622008,0.9553046396974172,173,83.94999999999999,303.04999999999995,192,95.94999999999999,342,309.496143731687,151.3223783590296,619.196533655717,0.9,median,qi,1979,Quintette Full,Reference
41,8,0.9788171793538953,0.6318637106641862,1.5492204729253334,0.138514340215542,0.06278473150614623,0.26852719398947605,0.8860744121827357,0.7615145905424713,0.9530408843370636,169,84,298.04999999999995,191,94,339.04999999999995,308.60839733550955,143.84332420303542,586.629346291921,0.9,median,qi,1980,Quintette Full,Reference
41,9,0.9629423423337918,0.6207691328718252,1.4985338849994132,0.1363014088049457,0.06194132192296693,0.2810717502280995,0.8867579516157875,0.7533543977096496,0.9493761748070214,165,83,294.04999999999995,185,91.94999999999999,337.04999999999995,295.2749396443735,143.93120813276735,577.6059960643292,0.9,median,qi,1981,Quintette Full,Reference
41,10,0.9819675679873467,0.6237143611315795,1.6216271674002627,0.14007463500151845,0.06328522027589711,0.27925072679716223,0.8862969116565607,0.7515208124009827,0.9525907873175562,161,79,285,180,90.94999999999999,317.14999999999986,290.3872919890282,138.86139428176412,570.0230604010026,0.9,median,qi,1982,Quintette Full,Reference
