herd,year,age,sex,mu,tau
3,25,NA,NA,39,0.029220542041054863
3,28,NA,NA,50,0.017777777777777778
3,31,NA,NA,38,0.03077870113881194
3,32,NA,NA,35,0.036281179138321996
4,19,NA,NA,39,0.029220542041054863
4,34,NA,NA,16,0.1736111111111111
4,35,NA,NA,17,0.15378700499807768
4,36,NA,NA,24,0.0771604938271605
4,37,NA,NA,17,0.15378700499807768
4,38,NA,NA,20,0.1111111111111111
4,39,NA,NA,13,0.26298487836949375
4,40,NA,NA,9,0.5486968449931414
4,41,NA,NA,6,1.234567901234568
4,42,NA,NA,11,0.36730945821854916
4,43,NA,NA,12,0.308641975308642
4,44,NA,NA,13,0.26298487836949375
4,45,NA,NA,9,0.5486968449931414
4,46,NA,NA,12,0.308641975308642
5,39,NA,NA,13,0.26298487836949375
5,43,NA,NA,1,44.44444444444444
6,26,NA,NA,25,0.07111111111111111
6,28,NA,NA,21,0.10078105316200554
6,33,NA,NA,5,1.7777777777777777
6,35,NA,NA,1,44.44444444444444
6,37,NA,NA,2,11.11111111111111
8,33,NA,NA,575,1.3442554085276202e-4
8,38,NA,NA,436,2.3344291532850387e-4
8,39,NA,NA,538,1.533881373496233e-4
8,40,NA,NA,475,1.9698368728839644e-4
8,50,NA,NA,487,1.867184624973804e-4
9,25,NA,NA,209,0.001017477723597089
9,27,NA,NA,193,0.0011931714796221226
9,28,NA,NA,203,0.001078513054052378
9,33,NA,NA,152,0.0019236688211757462
9,35,NA,NA,136,0.0024029219530949638
10,25,NA,NA,117,0.0032467268934505402
10,27,NA,NA,94,0.00502992807202857
10,28,NA,NA,93,0.005138680130008608
10,33,NA,NA,29,0.052847139648566535
10,35,NA,NA,40,0.027777777777777776
11,26,NA,NA,36,0.03429355281207134
11,27,NA,NA,42,0.025195263290501386
11,28,NA,NA,24,0.0771604938271605
11,30,NA,NA,26,0.06574621959237344
11,33,NA,NA,17,0.15378700499807768
11,38,NA,NA,16,0.1736111111111111
11,39,NA,NA,15,0.19753086419753085
12,25,NA,NA,36,0.03429355281207134
12,27,NA,NA,20,0.1111111111111111
12,28,NA,NA,35,0.036281179138321996
12,33,NA,NA,20,0.1111111111111111
12,35,NA,NA,16,0.1736111111111111
13,30,NA,NA,6,1.234567901234568
14,19,NA,NA,209,0.001017477723597089
14,20,NA,NA,581,1.316634458496226e-4
14,40,NA,NA,190,0.0012311480455524776
14,47,NA,NA,76,0.007694675284702985
14,50,NA,NA,80,0.006944444444444444
17,50,NA,NA,235,8.047884915245712e-4
17,51,NA,NA,289,5.321349653912722e-4
18,16,NA,NA,985,4.5808389233883323e-5
18,17,NA,NA,929,5.1497489046805946e-5
18,18,NA,NA,933,5.1056870844369605e-5
18,27,NA,NA,1327,2.5239202968685533e-5
18,28,NA,NA,1689,1.557966742785027e-5
18,29,NA,NA,2121,9.879526826978292e-6
18,30,NA,NA,1754,1.44463556973032e-5
18,31,NA,NA,2167,9.464543230141181e-6
18,32,NA,NA,2051,1.056540528670165e-5
18,33,NA,NA,2862,5.4259804298993434e-6
18,34,NA,NA,2861,5.429774158453217e-6
18,43,NA,NA,1003,4.417897299571321e-5
18,45,NA,NA,685,9.471883306397666e-5
18,49,NA,NA,473,1.9865303310900439e-4
18,50,NA,NA,185,0.0012985958931904878
19,42,NA,NA,44,0.022956841138659322
19,43,NA,NA,41,0.026439288783131742
20,43,NA,NA,25,0.07111111111111111
20,44,NA,NA,36,0.03429355281207134
21,19,NA,NA,40,0.027777777777777776
21,34,NA,NA,19,0.12311480455524776
21,35,NA,NA,7,0.9070294784580498
21,36,NA,NA,8,0.6944444444444444
21,37,NA,NA,7,0.9070294784580498
21,38,NA,NA,5,1.7777777777777777
21,39,NA,NA,4,2.7777777777777777
21,40,NA,NA,4,2.7777777777777777
21,42,NA,NA,6,1.234567901234568
21,43,NA,NA,6,1.234567901234568
21,44,NA,NA,5,1.7777777777777777
21,45,NA,NA,2,11.11111111111111
21,46,NA,NA,3,4.938271604938272
21,47,NA,NA,3,4.938271604938272
21,48,NA,NA,3,4.938271604938272
22,33,NA,NA,4,2.7777777777777777
22,35,NA,NA,7,0.9070294784580498
22,37,NA,NA,7,0.9070294784580498
23,27,NA,NA,172,0.0015023135628868458
23,28,NA,NA,198,0.0011336711673412012
23,30,NA,NA,151,0.0019492322461490484
23,33,NA,NA,76,0.007694675284702985
23,36,NA,NA,94,0.00502992807202857
23,49,NA,NA,31,0.046248121170077476
23,50,NA,NA,25,0.07111111111111111
25,39,NA,NA,80,0.006944444444444444
25,42,NA,NA,56,0.014172335600907028
25,44,NA,NA,48,0.019290123456790126
25,46,NA,NA,30,0.04938271604938271
26,36,NA,NA,34,0.03844675124951942
26,41,NA,NA,15,0.19753086419753085
26,49,NA,NA,15,0.19753086419753085
27,49,NA,NA,137,0.002367970826599416
27,51,NA,NA,97,0.004723609782595861
28,26,NA,NA,15,0.19753086419753085
28,27,NA,NA,17,0.15378700499807768
28,28,NA,NA,14,0.22675736961451246
28,29,NA,NA,5,1.7777777777777777
28,35,NA,NA,6,1.234567901234568
28,36,NA,NA,1,44.44444444444444
29,25,NA,NA,54,0.015241579027587259
29,26,NA,NA,63,0.011197894795778396
29,27,NA,NA,46,0.02100399075824407
29,28,NA,NA,37,0.032464897329762196
29,29,NA,NA,13,0.26298487836949375
29,31,NA,NA,13,0.26298487836949375
29,33,NA,NA,13,0.26298487836949375
29,44,NA,NA,20,0.1111111111111111
30,39,NA,NA,173,0.0014849959719484263
30,44,NA,NA,83,0.006451508846631507
31,16,NA,NA,75,0.007901234567901235
31,17,NA,NA,118,0.0031919307989402793
