herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max,herd_num,trt
Banff,2008,0,NA,NA,0,0,0,0,2,NA
Banff,2007,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,2,NA
Banff,2006,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,2,NA
Banff,2005,6,NA,NA,0,7.422334276986635,6.804858795685681,8.163052800017825,2,NA
Banff,2004,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,2,NA
Banff,2003,4,NA,NA,0,4.948222851324423,4.5365725304571205,5.442035200011883,2,NA
Banff,2002,2,NA,NA,0,2.4741114256622114,2.2682862652285603,2.7210176000059416,2,NA
Banff,2001,4,NA,NA,0,4.948222851324423,4.5365725304571205,5.442035200011883,2,NA
Banff,2000,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,2,NA
Banff,1999,3,NA,NA,0,3.711167138493317,3.4024293978428406,4.081526400008912,2,NA
Banff,1996,8,NA,NA,0,9.896445702648846,9.07314506091424,10.884070400023766,2,NA
Banff,1995,17,NA,NA,0,21.0299471181288,19.28043325444276,23.128649600050505,2,NA
Banff,1994,19,NA,NA,0,23.504058543791007,21.548719519671323,25.849667200056444,2,NA
Banff,1992,24,NA,NA,0,29.68933710794654,27.219435182742725,32.6522112000713,2,NA
Banff,1989,22,NA,NA,0,27.215225682284327,24.951148917514164,29.93119360006536,2,NA
Banff,1986,29,NA,NA,0,35.87461567210207,32.89015084581413,39.45475520008616,2,NA
Barkerville,2020,46,NA,NA,0,56.90456279023086,52.17058410025689,62.583404800136655,3,NA
Barkerville,2018,41,NA,NA,0,50.71928422607534,46.49986843718549,55.7808608001218,3,NA
Barkerville,2016,51,NA,NA,0,63.0898413543864,57.84129976332829,69.38594880015151,3,NA
Barkerville,2001,35,1,0.2589677325628265,0,35,27.80055365577321,47.23141155653845,3,NA
Barkerville,2000,38,0.6666666666666666,0.2721655269759087,0,57,40.47581693227177,96.32418306772824,3,NA
Barkerville,1997,50,1,0.35090295365368934,0,50,37.01228120404106,77.03008399351684,3,NA
Barkerville,1994,39,1,0.3525252104800803,0,39,28.83495235268621,60.23400544894907,3,NA
Barkerville,1992,27,NA,NA,0,33.40050424643986,30.62186458058557,36.73373760008021,3,NA
Barkerville,1991,31,NA,NA,0,38.34872709776428,35.15843711104269,42.1757728000921,3,NA
Barkerville,1989,37,NA,NA,0,45.771061374750914,41.96329590672837,50.33882560010992,3,NA
Barkerville,1988,38,NA,NA,0,47.008117087582015,43.097439039342646,51.69933440011289,3,NA
Barkerville,1987,33,NA,NA,0,40.82283852342649,37.42672337627125,44.896790400098034,3,NA
Brazeau,2020,7,NA,NA,0,8.65938998981774,7.9390019282999615,9.523561600020797,4,NA
Brazeau,2019,8,NA,NA,0,9.896445702648846,9.07314506091424,10.884070400023766,4,NA
Brazeau,2018,10,NA,NA,0,12.370557128311058,11.341431326142802,13.605088000029708,4,NA
Brazeau,2017,8,NA,NA,0,9.896445702648846,9.07314506091424,10.884070400023766,4,NA
Brazeau,2016,7,NA,NA,0,8.65938998981774,7.9390019282999615,9.523561600020797,4,NA
Brazeau,2015,12,1,0,0,12,12,12,4,NA
Brazeau,2014,9,0.99,0.07335189537830897,1,9.090909090909092,8.46380209516443,9.81838063551594,4,NA
Brazeau,2013,13,0.99,0.07335189537830897,1,13.131313131313131,12.22549191523751,14.182105362411912,4,NA
Brazeau,2012,12,0.99,0.07335189537830897,1,12.12121212121212,11.28506946021924,13.09117418068792,4,NA
Brazeau,2011,11,1,0.2239624056826481,0,11,8.987204140363202,14.174571026647548,4,NA
