herd,year,age,sex,mu,tau,sight_grp
2,37,NA,NA,29,0.02972651605231866,2
2,40,NA,NA,22,0.051652892561983466,2
2,43,NA,NA,24,0.04340277777777777,2
2,45,NA,NA,19,0.06925207756232686,2
2,46,NA,NA,17,0.08650519031141866,2
2,47,NA,NA,8,0.39062499999999994,2
2,50,NA,NA,3,2.7777777777777772,2
2,51,NA,NA,5,1,2
2,52,NA,NA,4,1.5624999999999998,2
2,53,NA,NA,2,6.249999999999999,2
2,54,NA,NA,4,1.5624999999999998,2
2,55,NA,NA,5,1,2
2,56,NA,NA,6,0.6944444444444443,2
2,57,NA,NA,5,1,2
2,58,NA,NA,5,1,2
2,59,NA,NA,0,10,2
3,38,NA,NA,33,0.022956841138659315,2
3,39,NA,NA,38,0.017313019390581715,2
3,40,NA,NA,37,0.018261504747991233,2
3,42,NA,NA,31,0.02601456815816857,2
3,43,NA,NA,27,0.034293552812071325,2
3,67,NA,NA,51,0.009611687812379852,2
3,69,NA,NA,41,0.014872099940511595,2
3,71,NA,NA,46,0.011814744801512286,2
4,44,NA,NA,31,0.02601456815816857,2
4,47,NA,NA,8,0.39062499999999994,2
4,49,NA,NA,16,0.09765624999999999,2
4,51,NA,NA,14,0.12755102040816324,2
4,52,NA,NA,6,0.6944444444444443,2
4,67,NA,NA,7,0.510204081632653,2
4,68,NA,NA,8,0.39062499999999994,2
4,69,NA,NA,10,0.25,2
4,70,NA,NA,8,0.39062499999999994,2
4,71,NA,NA,7,0.510204081632653,2
5,53,NA,NA,20,0.0625,3
5,62,NA,NA,5,1,3
5,65,NA,NA,1,24.999999999999996,3
6,59,NA,NA,3,2.7777777777777772,3
11,61,NA,NA,7,0.510204081632653,3
11,63,NA,NA,2,6.249999999999999,3
11,66,NA,NA,1,24.999999999999996,3
11,67,NA,NA,0,10,3
11,68,NA,NA,0,10,3
11,69,NA,NA,0,10,3
11,70,NA,NA,0,10,3
13,53,NA,NA,3,2.7777777777777772,2
13,55,NA,NA,0,10,2
13,56,NA,NA,0,10,2
13,57,NA,NA,0,10,2
13,58,NA,NA,0,10,2
13,60,NA,NA,0,10,2
13,61,NA,NA,0,10,2
14,53,NA,NA,113,0.0019578667084344894,1
14,66,NA,NA,189,6.998684247361494e-4,1
15,50,NA,NA,24,0.04340277777777777,3
15,57,NA,NA,23,0.04725897920604914,3
15,59,NA,NA,23,0.04725897920604914,3
15,61,NA,NA,9,0.30864197530864196,3
15,62,NA,NA,6,0.6944444444444443,3
15,64,NA,NA,11,0.20661157024793386,3
15,68,NA,NA,13,0.14792899408284022,3
16,57,NA,NA,191,6.85288232230476e-4,2
17,56,NA,NA,368,1.8460538752362946e-4,3
17,57,NA,NA,387,1.669237292096495e-4,3
17,61,NA,NA,298,2.815188505022296e-4,3
17,63,NA,NA,348,2.0643413925221295e-4,3
17,67,NA,NA,203,6.066635929044625e-4,3
18,33,NA,NA,711,4.945392970816246e-5,2
18,34,NA,NA,710,4.959333465582226e-5,2
18,35,NA,NA,775,4.162330905306972e-5,2
18,40,NA,NA,1162,1.8515172072603174e-5,2
18,41,NA,NA,1215,1.6935087808430286e-5,2
18,42,NA,NA,1408,1.2610569473140495e-5,2
18,43,NA,NA,1194,1.7536033040692015e-5,2
18,45,NA,NA,1136,1.9372396349930564e-5,2
18,46,NA,NA,1321,1.432631095773681e-5,2
18,58,NA,NA,1784,7.855074503810653e-6,2
18,60,NA,NA,2093,5.706916943128746e-6,2
