herd,first_s_year,first_r_year,first_c_year,first_e_year,first_yr,name,yrs
1,14,14,NA,NA,14,A La Peche,1998
2,NA,NA,NA,2,2,Banff,1986
3,8,3,10,3,3,Barkerville,1987
4,21,10,4,9,4,Brazeau,1988
5,19,18,24,18,18,Burnt Pine,2002
6,12,11,11,24,11,Central Rockies,1995
8,7,16,18,NA,7,Chase,1991
9,7,10,10,NA,7,Columbia North,1991
10,7,10,10,NA,7,Columbia South,1991
11,7,11,11,26,7,Duncan,1991
12,10,10,10,NA,10,Frisby-Boulder,1994
13,NA,NA,15,18,15,George Mountain,1999
14,30,4,4,18,4,Graham,1988
15,13,15,NA,15,13,Groundhog,1997
16,18,21,NA,22,18,Hart North,2002
17,3,18,35,21,3,Hart South,1987
18,12,1,1,5,1,Itcha-Ilgachuz,1985
19,18,8,27,18,8,Kennedy Siding,1992
20,18,12,28,12,12,Klinse-Za,1996
21,18,10,4,9,4,Maligne,1988
22,NA,10,18,10,10,Monashee,1994
23,10,10,12,10,10,Nakusp,1994
24,18,21,NA,NA,18,Narraway AB,2002
25,22,NA,24,NA,22,Narraway BC,2006
26,NA,15,21,15,15,Narrow Lake,1999
27,3,5,34,15,3,North Cariboo,1987
28,10,10,11,10,10,Purcells Central,1994
29,8,10,10,9,8,Purcells South,1992
30,18,18,24,NA,18,Quintette,2002
31,12,2,1,2,1,Rainbows,1985
32,10,19,NA,NA,10,Redrock/Prairie Creek,1994
34,11,9,33,9,9,Takla,1993
35,13,3,3,NA,3,Telkwa,1987
36,19,20,19,NA,19,Tonquin,2003
37,1,2,NA,NA,1,Tweedsmuir,1985
38,1,8,9,31,1,Wells Gray North,1985
39,1,11,NA,22,1,Wells Gray South,1985
40,7,14,23,NA,7,Wolverine,1991
