herd,herd_num,n1_mean,sight_grp
A La Peche,1,199.24027190086557,3
Banff,2,31.523135495835334,2
Barkerville,3,44.50325011176753,2
Brazeau,4,39.39393939393939,2
Burnt Pine,5,24.72402783987085,3
Central Rockies,6,23.232323232323232,3
Charlotte Alplands,7,65.51867377565776,3
Chase,8,575,3
Columbia North,9,212.04242424242423,3
Columbia South,10,102.04377104377106,3
Duncan,11,34.62626262626263,3
Frisby-Boulder,12,44.55555555555556,2
George Mountain,13,4.8846051182933445,2
Graham,14,1707.5,1
Groundhog,15,29.66883340784502,3
Hart North,16,236.11446587076665,2
Hart South,17,466.6660254775623,3
Itcha-Ilgachuz,18,969.6972914771821,2
Kennedy Siding,19,122.38393780736072,3
Klinse-Za,20,271.9643062385793,3
Maligne,21,40.4040404040404,2
Monashee,22,12.362013919935425,3
Nakusp,23,157.361949801025,3
Narraway AB,24,199.24027190086557,3
Narraway BC,25,68.68686868686868,2
Narrow Lake,26,79.11688908758671,3
North Cariboo,27,305.341743822405,2
Purcells Central,28,16.214038048258615,2
Purcells South,29,58.96437692809059,2
Quintette,30,174.74747474747474,2
Rainbows,31,105.30858235961793,2
Redrock/Prairie Creek,32,199.24027190086557,3
South Selkirks,33,58.71956611969327,2
Takla,34,100.13231275147695,3
Telkwa,35,69.6969696969697,3
Tonquin,36,68.75,2
Tweedsmuir,37,199.24027190086557,2
Wells Gray North,38,259.5338827838828,3
Wells Gray South,39,222.51625055883767,1
Wolverine,40,368.75,3
