herd,year,age,sex,mu,tau
3,45,NA,NA,1,8.046733883878082
3,48,NA,NA,1,8.121307457335675
3,51,NA,NA,0.6666666666666666,13.5
3,52,NA,NA,1,14.911065964592078
4,39,NA,NA,0.99,185.85631386302745
4,54,NA,NA,1,294.088829290817
4,55,NA,NA,0.5,7.999999999999998
4,56,NA,NA,1,13.588221425591845
4,57,NA,NA,0.8,31.250000000000007
4,58,NA,NA,1,34.14572122325822
4,59,NA,NA,1,21.957129748174232
4,60,NA,NA,1,14.131548670618889
4,61,NA,NA,0.6666666666666666,13.5
4,62,NA,NA,1,19.93653834640488
4,63,NA,NA,0.99,185.85631386302745
4,64,NA,NA,0.99,185.85631386302745
4,65,NA,NA,0.99,185.85631386302745
4,66,NA,NA,1,294.088829290817
5,59,NA,NA,1,294.088829290817
5,63,NA,NA,1,294.088829290817
6,46,NA,NA,0.99,185.85631386302745
6,48,NA,NA,0.99,185.85631386302745
6,53,NA,NA,1,294.088829290817
6,55,NA,NA,0.99,185.85631386302745
6,57,NA,NA,0.99,185.85631386302745
8,53,NA,NA,1,110.78532266363779
8,58,NA,NA,0.7777777777777778,52.071428571428584
8,59,NA,NA,0.8571428571428571,57.16666666666665
8,60,NA,NA,1,338.6242279171735
8,70,NA,NA,0.8529411764705882,271.0620689655172
9,45,NA,NA,0.99,185.85631386302745
9,47,NA,NA,0.99,185.85631386302745
9,48,NA,NA,0.8823529411764706,163.76666666666665
9,53,NA,NA,0.99,185.85631386302745
9,55,NA,NA,0.99,185.85631386302745
10,45,NA,NA,0.99,185.85631386302745
10,47,NA,NA,0.99,185.85631386302745
10,48,NA,NA,1,94.53861036339235
10,53,NA,NA,0.6666666666666666,13.5
10,55,NA,NA,0.99,185.85631386302745
11,46,NA,NA,0.99,185.85631386302745
11,47,NA,NA,0.99,185.85631386302745
11,48,NA,NA,0.9565217391304348,553.0454545454548
11,50,NA,NA,0.8235294117647058,116.97619047619041
11,53,NA,NA,0.6666666666666666,40.49999999999999
11,58,NA,NA,0.99,185.85631386302745
11,59,NA,NA,0.99,185.85631386302745
12,45,NA,NA,0.5,7.999999999999998
12,47,NA,NA,0.75,21.333333333333336
12,48,NA,NA,1,22.609770691321117
12,53,NA,NA,1,32.268108901475976
12,55,NA,NA,0.5,7.999999999999998
13,50,NA,NA,0.99,185.85631386302745
14,39,NA,NA,0.125,73.14285714285712
14,40,NA,NA,0.3333333333333333,40.49999999999999
14,60,NA,NA,0.99,185.85631386302745
14,67,NA,NA,0.2608695652173913,119.28431372549018
14,70,NA,NA,0.99,185.85631386302745
17,70,NA,NA,0.9117647058823528,422.62365591397844
17,71,NA,NA,1,674.3017585340727
18,36,NA,NA,0.8461538461538461,99.86363636363636
18,37,NA,NA,0.6428571428571429,60.977777777777796
18,38,NA,NA,0.6153846153846154,54.925000000000004
18,47,NA,NA,0.6190476190476191,89.04807692307693
18,48,NA,NA,0.8947368421052632,201.7352941176471
18,49,NA,NA,0.7894736842105263,114.31666666666662
18,50,NA,NA,0.7727272727272727,125.27058823529413
18,51,NA,NA,0.7142857142857143,102.89999999999998
18,52,NA,NA,0.7894736842105263,114.31666666666662
18,53,NA,NA,0.8571428571428571,114.3333333333333
18,54,NA,NA,0.6363636363636364,47.53571428571429
18,63,NA,NA,0.59375,132.663967611336
18,65,NA,NA,0.4782608695652174,92.17424242424242
18,69,NA,NA,0.7368421052631579,195.97142857142856
18,70,NA,NA,0.48,100.16025641025642
19,62,NA,NA,0.99,185.85631386302745
19,63,NA,NA,1,67.48012357002033
20,63,NA,NA,1,13.844576116681898
20,64,NA,NA,0.99,185.85631386302745
21,39,NA,NA,0.99,185.85631386302745
21,54,NA,NA,0.5714285714285714,28.58333333333334
21,55,NA,NA,0.3333333333333333,13.5
21,56,NA,NA,1,8.018058690744793
21,57,NA,NA,0.5,7.999999999999998
21,58,NA,NA,1,8.25647128830706
21,59,NA,NA,0.5,7.999999999999998
21,60,NA,NA,1,294.088829290817
21,62,NA,NA,0.99,185.85631386302745
21,63,NA,NA,1,8.058791261979426
21,64,NA,NA,1,7.907797769351952
21,65,NA,NA,1,294.088829290817
21,66,NA,NA,1,294.088829290817
21,67,NA,NA,1,294.088829290817
21,68,NA,NA,0.99,185.85631386302745
22,53,NA,NA,1,294.088829290817
22,55,NA,NA,1,7.93014487001396
22,57,NA,NA,1,294.088829290817
23,47,NA,NA,0.9230769230769232,183.08333333333343
23,48,NA,NA,0.9565217391304348,553.0454545454548
23,50,NA,NA,0.8235294117647058,116.97619047619041
23,53,NA,NA,0.6666666666666666,40.49999999999999
23,56,NA,NA,0.99,185.85631386302745
23,69,NA,NA,1,75.09302063366647
23,70,NA,NA,0.99,185.85631386302745
25,59,NA,NA,0.99,185.85631386302745
25,62,NA,NA,0.99,185.85631386302745
25,64,NA,NA,0.99,185.85631386302745
25,66,NA,NA,0.99,185.85631386302745
26,56,NA,NA,0.99,185.85631386302745
26,61,NA,NA,0.99,185.85631386302745
26,69,NA,NA,1,8.156766687079068
27,69,NA,NA,0.7142857142857143,68.6
27,71,NA,NA,0.6666666666666666,54
28,46,NA,NA,1,12.859882915135472
28,47,NA,NA,0.99,185.85631386302745
28,48,NA,NA,0.99,185.85631386302745
28,49,NA,NA,1,13.4595808383232
28,55,NA,NA,0.99,185.85631386302745
28,56,NA,NA,0.99,185.85631386302745
29,45,NA,NA,0.75,21.333333333333336
29,46,NA,NA,1,60.83106334751712
29,47,NA,NA,0.99,185.85631386302745
29,48,NA,NA,0.99,185.85631386302745
29,49,NA,NA,0.3333333333333333,13.5
29,51,NA,NA,1,7.960159362549801
29,53,NA,NA,0,294.088829290817
30,59,NA,NA,0.99,185.85631386302745
30,64,NA,NA,0.6470588235294118,74.43939393939392
31,36,NA,NA,1,22.564319745897272
31,37,NA,NA,1,41.66840458811227
31,47,NA,NA,0.4,20.833333333333332
31,48,NA,NA,1,57.25591291196817
31,49,NA,NA,0.7142857142857143,34.3
31,50,NA,NA,0.8333333333333334,43.20000000000001
31,51,NA,NA,0.8,31.250000000000007
31,52,NA,NA,0.75,21.333333333333336
31,71,NA,NA,1,8.089330828528855
34,68,NA,NA,0.99,185.85631386302745
35,33,NA,NA,0.99,185.85631386302745
35,35,NA,NA,0.99,185.85631386302745
35,38,NA,NA,0.99,185.85631386302745
35,47,NA,NA,0.99,185.85631386302745
36,54,NA,NA,0.8,147.55889582619912
36,55,NA,NA,0.8,114.72231274166656
36,56,NA,NA,0.8,140.08557793432476
36,57,NA,NA,0.8,261.4545740668961
36,58,NA,NA,0.8,2611.46082499821
36,59,NA,NA,0.8,2231.1175824767065
36,60,NA,NA,0.8,4427.580798599369
36,61,NA,NA,0.8,3486.706491074897
36,62,NA,NA,0.8,4097.086632044808
36,63,NA,NA,0.8,816.4302927319596
