herd,year,season,sex,mu,tau
1,14,1,1,0.1568365357839042,2014.0014412416847
1,15,1,1,0.16059040590405904,815.5781922525107
1,16,1,1,0.10847457627118644,1334.593473451327
1,18,1,1,0.11479820627802688,768.1396713615022
1,19,1,1,0.09566517189835576,1093.9809523809524
1,20,1,1,0.0372093023255814,2454.601648351648
1,21,1,1,0.14864516129032257,453.59999999999985
1,22,1,1,0.07344262295081967,728.862155388471
3,3,1,1,0.03125,1090.0645161290324
3,4,1,1,0.1875,249.43589743589743
3,5,1,1,0.05714285714285714,686.7424242424242
3,7,1,1,0.24,169.9561403508772
3,8,1,1,0.13636363636363635,212.28070175438597
3,9,1,1,0.4545454545454545,64.53333333333336
3,10,1,1,0.18181818181818185,262.16666666666663
3,11,1,1,0.1,122.22222222222224
3,12,1,1,0.07142857142857142,226.15384615384613
3,13,1,1,0.25,266.6666666666667
3,14,1,1,0.13043478260869565,229.23333333333335
3,15,1,1,0.3333333333333333,90
3,16,1,1,0.1176470588235294,366.06666666666666
3,17,1,1,0.34615384615384615,154.640522875817
3,29,1,1,0.2307692307692308,90.13333333333333
3,32,1,1,0.13333333333333333,441.3461538461537
3,34,1,1,0.07894736842105263,563.8476190476189
3,36,1,1,0.15,360.78431372549016
4,10,2,1,0.4090909090909091,128.23931623931625
4,13,2,1,0.14285714285714285,65.33333333333333
4,15,2,1,0.2307692307692308,90.13333333333333
4,17,2,1,0.2727272727272727,70.58333333333333
4,18,2,1,0,4444.444444444444
4,20,2,1,0.3333333333333333,72
4,21,2,1,0.3076923076923077,79.80555555555556
4,22,2,1,0.14285714285714285,196.00000000000003
4,23,2,1,0.21428571428571427,100.96969696969694
4,24,2,1,0.17647058823529413,137.61904761904762
4,25,2,1,0.3,61.904761904761905
4,26,2,1,0.2857142857142857,44.099999999999994
4,27,2,1,0.2,37.49999999999999
4,28,2,1,0.375,46.93333333333334
4,30,2,1,0,4444.444444444444
4,31,2,1,0.16666666666666666,50.399999999999984
4,32,2,1,0.3333333333333333,54
4,33,2,1,0.4,29.166666666666664
4,34,2,1,0.3333333333333333,35.99999999999999
4,35,2,1,0.25,53.33333333333334
4,36,2,1,0.3333333333333333,35.99999999999999
5,18,1,1,0.05263157894736842,401.1111111111111
5,19,1,1,0.11873840445269015,130.66666666666666
5,20,1,1,0.1385281385281385,100.79999999999995
5,21,1,1,0.10389610389610388,82.2857142857143
5,22,1,1,0.1108225108225108,147.1153846153846
5,24,1,1,0.18181818181818185,87.38888888888886
6,11,1,1,0.14285714285714285,65.33333333333333
6,13,1,1,0.0625,290.1333333333333
6,18,1,1,0,4444.444444444444
8,16,1,1,0.11743119266055048,1098.7691729323303
8,17,1,1,0.18156028368794327,1061.911820480405
8,18,1,1,0.1394673123486683,1578.053333333333
8,22,1,1,0.2925714285714286,454.9632352941177
8,23,1,1,0.17844558207565986,2884.5417282364283
8,24,1,1,0.21117734790641768,1882.0247477931905
8,25,1,1,0.15916573289707617,2718.3447648902825
8,26,1,1,0.14816487859966124,2165.053612517257
8,33,1,1,0.1904761904761905,972.7941176470588
9,10,1,1,0.24096385542168677,1126.2968253968254
9,12,1,1,0.23703703703703705,923.4147451456312
9,13,1,1,0.1340782122905028,1748.4739247311832
9,18,1,1,0.1328125,1258.97191308956
9,20,1,1,0.16216216216216217,949.467741935484
10,10,1,1,0.14130434782608697,865.3554040895812
10,12,1,1,0.14084507042253522,669.3786885245902
10,13,1,1,0.17721518987341772,637.8164835164835
10,18,1,1,0.20833333333333331,175.8315789473684
10,20,1,1,0.1875,249.43589743589743
11,11,1,1,0.2,149.99999999999997
11,12,1,1,0.2,224.99999999999991
11,13,1,1,0.09090909090909093,290.4
11,15,1,1,0.08333333333333333,340.3636363636364
11,18,1,1,0.3076923076923077,79.80555555555556
11,23,1,1,0.125,82.2857142857143
11,24,1,1,0,4444.444444444444
11,26,1,1,0,4444.444444444444
12,10,1,1,0.09090909090909093,435.6
12,12,1,1,0.3333333333333333,90
12,13,1,1,0.12903225806451613,311.43518518518516
12,18,1,1,0.3333333333333333,90
12,20,1,1,0.3333333333333333,72
14,4,1,1,0.20114942528735635,1300.6544707091468
14,5,1,1,0.0470472923303112,1048.6933333333334
14,10,1,1,0.0726264027234901,1404.5011820330967
14,11,1,1,0.2122133185962973,310.3119047619047
14,15,1,1,0.11294117647058824,800.0285388127852
14,17,1,1,0.16761904761904764,323.54040404040416
14,18,1,1,0.19934426229508195,397.6233918128656
14,19,1,1,0.04155844155844156,1590.285714285714
14,25,1,1,0.09074626865671642,1903.8340885325892
14,31,1,1,0.13292307692307692,1623.529411764706
14,32,1,1,0.11107438016528928,1420.265780730897
14,33,1,1,0.12571428571428572,500.19964349376113
14,34,1,1,0.17454545454545453,237.04666666666668
14,35,1,1,0.13540298507462686,653.5708812260536
14,36,1,1,0.1022977022977023,676.3706140350877
15,15,1,1,0.2,149.99999999999997
15,22,1,1,0.21052631578947367,138.38333333333333
15,24,1,1,0.21052631578947367,138.38333333333333
15,26,1,1,0.125,82.2857142857143
15,27,1,1,0.5,24
15,29,1,1,0.2222222222222222,63.64285714285717
15,31,1,1,0.16666666666666666,100.79999999999995
15,33,1,1,0.18181818181818185,87.38888888888886
16,21,1,1,0.19298245614035087,436.62450592885386
16,22,1,1,0.2565789473684211,1001.3306103925572
17,18,1,1,0.21145374449339208,1649.2638500931096
17,21,1,1,0.2185430463576159,2154.794042116076
17,22,1,1,0.19444444444444445,2470.699507389162
17,26,1,1,0.11194029850746268,2997.6963585434164
17,28,1,1,0.1262135922330097,3155.4974358974355
17,29,1,1,0.15246636771300448,1988.850451291627
17,32,1,1,0.152046783625731,1527.9779840848807
17,35,1,1,0.22395833333333331,1352.121117527704
17,36,1,1,0.18666666666666668,1778.651565338177
18,1,1,1,0.192,4444.444444444444
18,2,1,1,0.2735483870967742,4444.444444444444
18,3,1,1,0.22482435597189696,4444.444444444444
18,4,1,1,0.16821273964131106,4444.444444444444
18,5,3,1,0.3163064833005894,3565.2075926322555
18,6,3,1,0.3702830188679245,4444.444444444444
18,7,3,1,0.3728813559322034,4444.444444444444
18,8,3,1,0.26846846846846845,4444.444444444444
18,9,3,1,0.3614595210946408,4444.444444444444
18,11,2,1,0.1310132625994695,4444.444444444444
18,12,1,1,0.2252199413489736,4444.444444444444
18,13,1,1,0.16531534763578962,4444.444444444444
18,14,1,1,0.12894768782619248,4444.444444444444
18,15,1,1,0.17316017316017315,4444.444444444444
18,16,1,1,0.16623376623376623,4444.444444444444
18,17,1,1,0.15063253898205353,4444.444444444444
18,18,1,1,0.18087611869995288,4444.444444444444
18,19,1,1,0.18068887634105024,4444.444444444444
18,20,1,1,0.0937598986379474,3647.0846103835784
18,24,3,1,0.31952662721893493,4444.444444444444
18,26,3,1,0.2677165354330709,4444.444444444444
18,27,3,1,0.3538156590683845,4444.444444444444
