herd,year,events,trials,season.num,type.otc,type.osc,type.mnka
1,29,44,249,0,0,1,0
1,30,17,99,0,0,1,0
1,31,16,129,0,0,1,0
1,33,12,83,0,0,1,0
1,34,10,94,0,0,1,0
1,35,4,95,0,0,1,0
1,36,9,54,0,0,1,0
1,37,7,64,0,0,1,0
3,18,1,32,0,1,0,0
3,19,6,32,0,1,0,0
3,20,2,35,0,1,0,0
3,22,6,25,0,1,0,0
3,23,3,22,0,1,0,0
3,24,5,11,0,1,0,0
3,25,6,33,0,1,0,0
3,26,1,10,0,1,0,0
3,27,1,14,0,1,0,0
3,28,10,40,0,1,0,0
3,29,3,23,0,1,0,0
3,30,5,15,0,1,0,0
3,31,4,34,0,1,0,0
3,32,9,26,0,1,0,0
3,44,3,13,0,1,0,0
3,47,6,45,0,1,0,0
3,49,3,38,0,1,0,0
3,51,6,40,0,1,0,0
4,25,9,22,5,1,0,0
4,28,1,7,5,1,0,0
4,30,3,13,5,1,0,0
4,32,3,11,5,1,0,0
4,33,0,6,5,1,0,0
4,35,4,12,5,1,0,0
4,36,4,13,5,1,0,0
4,37,3,21,5,1,0,0
4,38,3,14,5,1,0,0
4,39,3,17,5,1,0,0
4,40,3,10,5,1,0,0
4,41,2,7,5,1,0,0
4,42,1,5,5,1,0,0
4,43,3,8,5,1,0,0
4,45,0,3,5,1,0,0
4,46,1,6,5,1,0,0
4,47,3,9,5,1,0,0
4,48,2,5,5,1,0,0
4,49,2,6,5,1,0,0
4,50,2,8,5,1,0,0
4,51,2,6,5,1,0,0
5,33,1,19,0,1,0,0
5,34,2,14,0,0,1,0
5,35,2,12,0,0,1,0
5,36,1,8,0,0,1,0
5,37,2,15,0,0,1,0
5,39,2,11,0,1,0,0
6,26,1,7,0,1,0,0
6,28,1,16,0,1,0,0
6,33,0,5,0,1,0,0
7,25,7,35,0,0,1,0
7,30,5,25,9,1,0,0
7,31,1,20,5,0,1,0
7,33,1,7,0,0,1,0
7,41,2,4,5,0,1,0
7,44,2,5,5,0,1,0
8,31,14,109,0,0,0,1
8,32,28,141,0,0,0,1
8,33,27,177,0,0,0,1
8,37,24,75,0,0,0,1
8,38,55,338,0,0,0,1
8,39,61,269,0,0,0,1
8,40,58,333,0,0,0,1
8,41,41,253,0,0,0,1
8,48,24,126,0,1,0,0
9,25,40,166,0,1,0,0
9,27,32,135,0,1,0,0
9,28,24,179,0,1,0,0
9,33,17,128,0,1,0,0
9,35,18,111,0,1,0,0
10,25,13,92,0,1,0,0
10,27,10,71,0,1,0,0
10,28,14,79,0,1,0,0
10,33,5,24,0,1,0,0
10,35,6,32,0,1,0,0
11,26,4,20,0,1,0,0
11,27,6,30,0,1,0,0
11,28,2,22,0,1,0,0
11,30,2,24,0,1,0,0
11,33,4,13,0,1,0,0
11,38,1,8,0,1,0,0
11,39,0,11,0,1,0,0
11,41,0,7,0,1,0,0
12,25,3,33,0,1,0,0
12,27,5,15,0,1,0,0
12,28,4,31,0,1,0,0
12,33,5,15,0,1,0,0
12,35,4,12,0,1,0,0
14,19,35,174,0,1,0,0
14,20,3,53,0,0,1,0
14,25,9,103,0,0,1,0
14,26,12,47,0,0,1,0
14,30,12,85,0,0,1,0
14,32,11,47,0,0,1,0
14,33,19,64,0,0,1,0
14,34,3,66,0,0,0,1
14,40,19,170,0,0,0,1
14,46,27,180,0,0,0,1
14,47,21,150,0,0,0,1
14,48,11,62,0,0,1,0
14,49,6,31,0,0,1,0
14,50,9,67,0,0,1,0
14,51,8,65,0,0,1,0
15,30,4,20,0,1,0,0
15,37,4,19,0,1,0,0
15,39,4,19,0,1,0,0
15,41,1,8,0,1,0,0
15,42,2,4,0,1,0,0
15,44,2,9,0,1,0,0
15,46,2,12,0,1,0,0
15,48,2,11,0,1,0,0
16,36,11,57,0,1,0,0
16,37,39,152,0,1,0,0
17,33,48,227,0,1,0,0
17,36,66,302,0,1,0,0
17,37,63,324,0,1,0,0
17,41,30,268,0,1,0,0
17,43,39,309,0,1,0,0
17,44,34,223,0,1,0,0
17,47,26,171,0,1,0,0
17,50,43,192,0,1,0,0
17,51,49,240,0,0,0,1
18,8,32,106,0,0,1,0
18,9,10,49,0,0,1,0
18,10,5,13,9,1,0,0
18,11,10,118,9,0,1,0
18,13,62,72,5,0,1,0
18,14,61,182,0,0,1,0
18,15,18,45,0,0,1,0
18,16,24,89,0,0,1,0
18,17,53,167,0,0,1,0
18,18,33,122,0,0,1,0
18,19,17,84,0,0,1,0
18,20,161,509,9,1,0,0
18,21,314,848,9,1,0,0
18,22,330,885,9,1,0,0
18,23,298,1110,9,1,0,0
18,24,317,877,9,1,0,0
18,26,293,843,9,1,0,0
18,27,42,155,0,0,1,0
18,28,36,181,0,0,1,0
18,29,83,535,0,0,1,0
18,30,45,216,0,0,1,0
18,31,57,285,0,0,1,0
18,32,56,309,0,0,1,0
18,33,42,193,0,0,1,0
18,34,45,207,0,0,1,0
18,35,37,328,0,0,1,0
18,39,432,1352,9,1,0,0
18,41,442,1651,9,1,0,0
18,42,357,1009,9,1,0,0
18,43,48,399,0,0,1,0
18,44,55,609,0,0,1,0
18,45,26,320,0,0,1,0
18,46,16,291,0,0,1,0
18,49,138,364,9,0,0,1
18,50,48,425,9,1,0,0
19,23,15,82,0,0,1,0
19,34,9,34,0,0,1,0
19,35,9,51,0,0,1,0
19,36,4,48,0,0,1,0
19,37,16,75,0,0,1,0
19,38,17,103,0,0,1,0
19,40,4,56,0,0,1,0
19,41,3,25,0,0,1,0
19,42,2,42,0,0,0,1
19,43,6,35,0,1,0,0
19,44,3,23,0,0,1,0
19,45,1,11,0,0,1,0
20,27,17,203,0,1,0,0
20,33,1,17,0,0,1,0
20,34,4,25,0,0,1,0
20,35,3,16,0,0,1,0
20,36,10,31,0,0,1,0
20,37,1,4,0,0,1,0
20,38,1,8,0,0,1,0
20,39,8,34,0,0,1,0
20,40,6,42,0,0,1,0
20,41,2,21,0,0,1,0
20,42,2,33,0,0,1,0
20,43,3,22,0,1,0,0
20,44,1,7,0,0,1,0
21,25,10,31,5,1,0,0
21,28,3,37,5,1,0,0
21,30,15,53,5,1,0,0
21,32,6,35,5,1,0,0
21,33,4,8,5,1,0,0
21,35,4,15,5,1,0,0
21,36,1,6,5,1,0,0
21,37,1,7,5,1,0,0
21,38,2,5,5,1,0,0
21,39,0,5,5,1,0,0
21,40,1,3,5,1,0,0
22,25,3,7,0,1,0,0
23,5,3,14,0,0,1,0
23,6,3,11,0,0,1,0
23,7,4,7,0,0,1,0
23,25,16,132,0,1,0,0
23,26,6,37,0,1,0,0
23,27,17,155,0,1,0,0
23,28,13,174,0,1,0,0
23,30,11,140,0,1,0,0
23,33,12,64,0,1,0,0
23,35,13,57,0,1,0,0
23,36,16,59,0,1,0,0
23,37,20,54,0,1,0,0
23,38,9,50,0,1,0,0
23,39,13,72,0,1,0,0
23,41,12,65,0,1,0,0
23,43,9,76,0,1,0,0
23,45,8,42,0,1,0,0
23,46,5,38,0,1,0,0
23,47,2,33,0,1,0,0
23,48,2,27,0,1,0,0
23,49,4,27,0,1,0,0
23,50,1,23,0,1,0,0
23,51,1,11,0,1,0,0
24,36,4,36,0,0,1,0
24,37,10,77,0,0,1,0
24,38,2,100,0,0,1,0
24,39,1,65,0,0,1,0
24,40,9,64,0,0,1,0
24,41,13,67,0,0,1,0
24,42,10,74,0,0,1,0
24,43,5,45,0,0,1,0
24,44,4,55,0,0,1,0
24,45,3,37,0,0,1,0
24,46,5,30,0,0,1,0
24,47,4,19,0,0,1,0
26,30,7,60,0,1,0,0
26,33,7,54,0,1,0,0
26,36,1,18,0,1,0,0
26,37,3,30,0,1,0,0
26,38,4,44,0,1,0,0
26,39,6,34,0,1,0,0
26,40,0,21,0,1,0,0
26,41,0,8,0,1,0,0
26,43,2,34,0,1,0,0
26,45,2,37,0,1,0,0
26,47,5,26,0,1,0,0
26,48,5,15,0,1,0,0
26,49,2,13,0,1,0,0
27,20,32,127,0,1,0,0
27,24,23,130,0,1,0,0
27,30,26,232,0,1,0,0
27,33,22,214,0,1,0,0
27,36,36,179,0,1,0,0
27,37,37,172,0,1,0,0
27,41,11,66,0,1,0,0
27,42,15,148,0,1,0,0
27,45,7,114,0,1,0,0
27,47,19,106,0,1,0,0
27,49,18,119,0,1,0,0
27,51,19,102,0,0,0,1
28,25,2,13,0,1,0,0
28,27,1,12,0,1,0,0
28,28,1,13,0,0,0,1
29,25,3,51,0,1,0,0
29,26,1,62,0,1,0,0
29,27,1,45,0,0,0,1
