herd,year,age,sex,mu,tau
1,14,2,1,0.891086756,138.40830449826987
1,15,2,1,0.892519303,138.40830449826987
1,16,2,1,0.961158128,138.40830449826987
1,17,2,1,0.912255975,138.40830449826987
1,18,2,1,0.827678572,138.40830449826987
1,19,2,1,0.984292166,138.40830449826987
1,20,2,1,0.841131219,138.40830449826987
1,21,2,1,0.847239071,125.187341536801
1,22,2,1,0.923171454,138.40830449826987
3,8,2,1,1,21.19230585652243
3,9,2,1,1,12.882934517839203
3,10,2,1,1,13.511685782298231
3,11,2,1,0.6666666666666666,13.5
3,12,2,1,1,46.857655084714594
3,13,2,1,1,31.364949872593627
3,14,2,1,1,32.05621871390063
3,15,2,1,0.6000000000000001,20.833333333333332
3,16,2,1,1,71.63248020292292
3,17,2,1,0.75,42.66666666666667
4,21,2,1,1,19.958071069412465
4,22,2,1,0.7291666666666667,36.74152823920264
4,23,2,1,0.6666666666666667,26.999999999999993
4,24,2,1,0.6666666666666667,26.999999999999993
4,25,2,1,0.75,21.333333333333336
4,26,2,1,1,13.879819381729758
4,27,2,1,1,22.301876209518415
4,28,2,1,0.75,21.333333333333336
4,29,2,1,0.3333333333333333,13.5
5,19,2,1,0.5,7.999999999999998
5,21,2,1,1,13.617857856887367
5,24,2,1,1,13.361986330380391
5,25,2,1,1,13.685452262262496
5,26,2,1,0.5,7.999999999999998
6,12,2,1,1,13.804295590946984
6,13,2,1,1,13.54247783211918
6,14,2,1,1,13.383367767980037
6,15,2,1,1,13.811590306847275
8,7,2,1,1,115.86316316873597
8,8,2,1,1,77.82684695124573
8,9,2,1,0.8571428571428571,57.166666666666686
8,10,2,1,1,13.756119951040567
8,11,2,1,1,13.14596687409354
8,12,2,1,1,14.075378654455772
8,13,2,1,1,13.11015975409896
8,14,2,1,0.6666666666666666,13.5
8,15,2,1,1,138.40830449826987
8,16,2,1,1,138.40830449826987
8,17,2,1,0.8264462809917354,80.52550000000001
8,18,2,1,0.8148148148148148,70.17112299465242
8,19,2,1,0.8333333333333333,86.40000000000003
8,20,2,1,1,102.43884431756544
8,21,2,1,0.7619047619047619,45.69572368421054
8,22,2,1,0.8333333333333334,43.2
8,23,2,1,1,138.40830449826987
8,24,2,1,0.806366047745358,138.40830449826987
8,25,2,1,0.9210526315789472,138.40830449826987
8,26,2,1,0.96,138.40830449826987
8,33,2,1,0.9565217391304348,138.40830449826987
8,34,2,1,0.859090909090909,138.40830449826987
8,35,2,1,0.9141390931372548,138.40830449826987
8,36,2,1,0.9443561208267092,138.40830449826987
9,7,2,1,1,12.41446158434529
9,8,2,1,0.6666666666666666,13.5
9,9,2,1,0.9,111.11111111111116
9,10,2,1,0.7777777777777777,52.071428571428584
9,11,2,1,0.7,47.61904761904764
9,12,2,1,0.7777777777777777,52.071428571428584
9,13,2,1,0.8184615384615385,108.14505712605536
9,14,2,1,0.7859649122807016,110.64701074487613
9,15,2,1,0.7407407407407407,59.64545454545457
9,16,2,1,0.6349206349206349,34.92276536312849
9,17,2,1,1,110.52303171645885
9,18,2,1,0.7,47.61904761904764
9,19,2,1,0.8181818181818181,73.94444444444447
9,20,2,1,0.8181818181818181,73.94444444444447
10,7,2,1,1,138.40830449826987
10,8,2,1,0.9285714285714286,138.40830449826987
10,9,2,1,0.9230769230769232,138.40830449826987
10,10,2,1,1,138.40830449826987
10,11,2,1,0.8333333333333333,86.40000000000003
10,12,2,1,0.9,111.11111111111116
10,13,2,1,0.7777777777777777,52.071428571428584
10,14,2,1,0.5714285714285715,28.583333333333325
10,15,2,1,1,43.28219718167465
10,16,2,1,1,20.89327099163309
