herd,year,events,trials
2,34,0,169
2,35,0,515
2,36,0,728
2,37,0,728
2,38,0,728
2,39,2,728
3,23,0,196
3,24,0,1092
3,25,0,1092
3,26,1,765
3,27,0,890
3,28,0,1820
3,29,0,1820
3,30,2,1231
3,31,0,1110
3,32,2,2424
4,34,0,354
4,35,0,715
4,36,0,1293
4,37,2,1904
4,38,2,1830
4,39,2,1870
4,40,1,1296
4,41,0,1092
4,42,0,1323
4,43,1,1413
4,44,2,784
4,45,0,364
4,46,0,364
4,47,0,197
5,33,0,16
5,34,1,639
5,35,0,730
5,36,0,741
5,37,0,548
5,38,0,364
5,39,0,571
5,40,0,833
5,41,1,318
5,42,0,472
5,43,0,365
5,44,1,186
6,22,0,62
6,23,0,730
6,24,0,728
6,25,0,728
6,26,0,728
6,27,0,755
6,28,0,1092
6,29,0,1092
6,30,0,259
7,43,0,182
7,44,1,530
7,45,0,364
7,46,0,91
8,22,0,2322
8,23,0,2628
8,24,1,2031
8,25,0,1092
8,26,0,1092
8,27,0,1095
8,28,0,1092
8,29,1,1288
8,30,0,4077
8,31,0,4298
8,32,2,3698
8,33,2,2834
8,34,2,3912
8,35,0,3364
8,36,2,2504
8,37,1,1971
8,38,0,3725
8,39,5,7411
8,40,3,12899
8,41,1,5581
8,42,0,728
8,43,0,402
8,48,1,496
8,49,5,9728
8,50,3,12476
9,22,0,81
9,23,1,1179
9,24,1,3591
9,25,2,2976
9,26,3,3354
9,27,2,2870
9,28,3,4875
9,29,4,5841
9,30,3,3944
9,31,3,2786
9,32,0,2235
9,33,3,3100
9,34,2,3577
9,35,2,3566
10,22,0,311
10,23,1,4061
10,24,1,4684
10,25,0,4368
10,26,2,3847
10,27,1,3430
10,28,2,2792
10,29,3,1840
10,30,0,830
10,31,0,1460
10,32,1,1171
10,33,1,605
10,34,1,1215
10,35,1,1968
11,22,0,93
11,23,1,1089
11,24,0,728
11,25,0,728
11,26,0,728
11,27,0,746
11,28,1,1372
11,29,1,639
11,30,0,364
11,31,0,120
12,24,0,122
12,25,0,760
12,26,0,1456
12,27,0,1460
12,28,2,798
12,30,0,45
12,31,0,740
12,32,0,1456
12,33,0,1204
12,34,1,1021
12,35,0,730
14,45,0,1248
14,46,3,9721
14,47,5,8518
14,48,8,5698
14,49,6,6694
14,50,3,6981
15,27,1,83
15,28,0,52
15,29,0,1479
15,30,1,1937
15,31,0,1585
15,32,2,979
15,33,1,951
15,34,0,757
15,35,1,431
15,48,0,24
16,33,0,1636
16,34,0,4766
16,35,3,2683
16,36,1,956
16,37,0,1548
17,18,0,136
17,19,1,4453
17,20,1,5462
17,21,1,5459
17,22,0,4864
17,48,0,930
17,49,2,11019
17,50,6,9699
18,27,1,4506
18,28,5,7347
18,29,1,6971
18,30,3,7637
18,31,2,7966
18,32,2,7335
18,33,2,5419
18,43,1,2699
18,44,2,8658
18,45,7,7271
18,46,1,1516
18,49,1,2284
18,50,3,7798
19,33,0,781
19,34,1,1562
19,35,2,2364
19,36,0,1603
19,37,1,3555
19,38,2,4504
19,39,2,5404
19,40,1,5006
19,41,4,3419
19,42,0,927
19,43,1,2403
19,44,2,1815
19,45,0,1503
20,33,0,1432
20,34,0,3276
20,35,0,3285
20,36,1,2252
20,37,1,2229
20,38,3,1690
20,39,2,1394
20,40,1,1480
20,41,1,946
20,42,2,1655
20,43,1,1013
20,44,0,2945
21,33,0,1109
21,34,0,2502
21,35,2,2340
21,36,1,1203
21,37,1,1295
21,38,1,1065
21,39,0,730
21,40,0,501
21,41,0,654
21,42,0,728
21,43,0,730
21,44,0,728
21,45,1,570
21,46,0,364
21,47,0,365
21,48,0,364
21,49,1,169
22,32,0,15
22,33,0,364
22,34,0,718
22,35,0,730
22,36,0,660
22,37,0,364
22,38,0,364
22,39,0,365
22,40,1,99
23,25,0,70
23,26,1,3823
23,27,3,4736
23,28,4,4259
23,29,1,5018
23,30,2,3429
23,31,0,2465
23,47,0,105
23,48,1,2283
23,49,1,1951
23,50,1,1798
25,37,0,366
25,38,1,1433
25,39,1,2116
25,40,2,1208
25,41,0,1947
25,42,1,2129
25,43,0,1470
25,44,3,1098
25,45,0,673
25,46,1,928
25,47,0,730
25,48,0,527
26,48,0,57
26,49,0,728
26,50,0,728
27,18,0,127
27,19,0,2920
27,20,1,2720
27,21,1,2437
27,22,0,1932
27,26,0,69
27,27,0,1467
27,28,1,675
27,48,0,405
27,49,2,4234
27,50,1,3527
28,24,0,22
28,25,0,1084
28,26,0,1092
28,27,1,813
28,28,1,479
28,29,0,579
29,23,0,60
29,24,5,1557
29,25,2,1732
29,26,1,1222
29,27,1,869
29,28,2,946
29,29,0,582
29,41,0,93
29,42,0,1052
29,43,0,1100
29,44,0,1341
29,45,0,1092
29,46,0,1092
29,47,0,1095
29,48,0,1092
29,49,0,1092
29,50,0,1058
30,33,1,632
30,34,0,1310
30,35,0,2617
30,36,0,3136
30,37,0,3155
30,38,3,5531
30,39,2,4442
30,40,1,3597
30,41,1,3325
30,42,1,3681
30,43,1,3955
30,44,3,4405
30,45,4,3147
30,46,6,4769
31,27,0,686
31,28,0,2106
31,29,0,2184
31,30,1,2106
31,31,0,1825
31,32,0,1820
31,33,0,1726
31,34,3,284
31,43,1,364
31,44,0,1092
31,45,0,1092
31,46,1,273
33,44,0,28
33,45,0,728
33,46,1,415
34,26,0,565
34,27,0,2657
34,28,0,1458
34,29,0,168
34,42,0,55
34,43,0,1019
35,23,0,93
35,24,0,1092
35,25,0,1154
35,26,0,1820
35,27,3,1363
35,42,6,1487
35,43,0,730
35,44,0,728
35,45,0,808
35,46,0,1644
35,47,0,1720
35,48,0,1135
35,49,1,1613
35,50,1,1697
37,45,2,1741
37,46,4,4533
37,47,3,5390
37,48,2,6421
37,49,4,5706
37,50,3,6296
38,14,0,468
38,15,5,5096
38,16,5,5863
38,17,3,6607
38,18,6,7074
38,19,5,2439
38,23,0,445
38,24,0,5524
38,25,3,6330
38,26,5,5865
38,27,5,5572
38,28,4,5866
38,29,4,4767
38,30,1,3441
38,31,1,2791
38,32,1,2081
39,16,0,66
39,17,2,8005
39,18,3,7193
39,19,0,6174
39,27,1,1104
39,28,1,6999
39,29,3,7255
39,30,0,6496
39,31,3,5518
39,32,3,3891
39,33,2,3823
39,34,2,3505
39,35,4,3076
39,36,1,2228
39,37,0,1830
39,38,0,1831
39,39,0,575
39,40,0,364
39,41,0,129
39,48,0,15
39,49,1,719
39,50,0,55
40,22,0,2655
40,23,0,3904
40,24,0,4127
40,25,0,3862
40,26,0,3553
