i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
40,1,1,1,1,0.1,0.1,0.1,0.8320404972350772,0.8205873121684851,0.8418412925242219,378.81673971588214,299.063756674691,526.2723118594462,0.9,median,qi,1970,Wolverine,Reference
40,2,1.0253155526553999,0.6693059193852932,1.538051920266416,0.24673662826627457,0.23069411414535548,0.26237721592815755,0.8354952268331426,0.8250863021841555,0.8448782089346258,388.6666129144658,288.5763365164839,547.9015229069413,0.9,median,qi,1971,Wolverine,Reference
40,3,1.0029291272003387,0.6999532818560283,1.5719767192359413,0.2579529094102959,0.24152797665633496,0.27438150912111897,0.8278701607844046,0.8163644430641712,0.8369280538169782,394.1264111292744,291.2930015980492,577.9067930564269,0.9,median,qi,1972,Wolverine,Reference
40,4,0.990204972329319,0.6427731806469863,1.5228976434200459,0.2514328096650972,0.23512889276373192,0.26715147076750567,0.8325622576133471,0.8225517922734683,0.8412004762938512,390.98733527803535,284.60412294123995,578.0487695038046,0.9,median,qi,1973,Wolverine,Reference
40,5,0.9977448843579082,0.6543837395637576,1.5721236520080857,0.24808561394987072,0.23275568031342114,0.2640560094327885,0.8352836426740975,0.8242465576461339,0.8452513852961298,390.90562856975424,282.2318247833368,580.8369242943543,0.9,median,qi,1974,Wolverine,Reference
40,6,1.023737508643337,0.6599828065898823,1.5025105362147202,0.255281683801844,0.23766109498312923,0.2719240742641833,0.8285480270239306,0.8153836637106866,0.839546032981914,406.2981765302378,288.87222502768316,590.836179098519,0.9,median,qi,1975,Wolverine,Reference
40,7,0.9884867461207154,0.6706243736986293,1.4891854510737919,0.25178316362780606,0.23528340565652836,0.267060686521041,0.8323307248162279,0.8228236684116971,0.8407582306684435,400.8276137058456,288.3875370560446,593.4975937148304,0.9,median,qi,1976,Wolverine,Reference
40,8,1.0019075888185844,0.6911699284320327,1.532447908286987,0.2484015975934465,0.23230674463234252,0.26343217749987635,0.8347327028282108,0.8255575100664306,0.8431914892131108,409.39648650822664,287.72530858477086,599.7754671279066,0.9,median,qi,1977,Wolverine,Reference
40,9,1.02164648616831,0.6937481697329971,1.5820422700228085,0.2495591436441065,0.23277934566885258,0.2652762278124276,0.8334957713262543,0.8227948661459203,0.8423843770983386,416.34288541624323,285.5748063177181,647.396019307785,0.9,median,qi,1978,Wolverine,Reference
40,10,1.0015955767947333,0.6660221979507388,1.5744968554486984,0.25520681835062337,0.23813113845800998,0.2713570530518745,0.8289042532374066,0.8167148220139252,0.8390224691298828,422.3396300671561,283.6588947641447,628.3052478538388,0.9,median,qi,1979,Wolverine,Reference
