.chain,.iteration,.draw,.variable,.value,type
1,1,1,muS,7.684920900501795,Priors
1,2,2,muS,7.768227485869115,Priors
1,3,3,muS,7.857537263916707,Priors
1,4,4,muS,7.751019421563496,Priors
1,5,5,muS,7.640062802390149,Priors
1,6,6,muS,7.829079059593209,Priors
1,7,7,muS,7.732766333309457,Priors
1,8,8,muS,7.778700996793688,Priors
1,9,9,muS,7.689994471003736,Priors
1,10,10,muS,7.778776100411292,Priors
1,11,11,muS,7.654826930896639,Priors
1,12,12,muS,7.634246324698633,Priors
1,13,13,muS,7.729381000069537,Priors
1,14,14,muS,7.789761272768984,Priors
1,15,15,muS,7.631880031538904,Priors
1,16,16,muS,7.781743331320655,Priors
1,17,17,muS,7.743459484214093,Priors
1,18,18,muS,7.712799926334774,Priors
1,19,19,muS,7.673083689191201,Priors
1,20,20,muS,7.829225893175471,Priors
1,21,21,muS,7.668601193035813,Priors
1,22,22,muS,7.718711697355595,Priors
1,23,23,muS,7.672932281430002,Priors
1,24,24,muS,7.715084047698814,Priors
1,25,25,muS,7.626045017409711,Priors
1,26,26,muS,7.704173619276496,Priors
1,27,27,muS,7.759292565769093,Priors
1,28,28,muS,7.727283749578997,Priors
1,29,29,muS,7.7609488039923455,Priors
1,30,30,muS,7.7668587136815965,Priors
1,31,31,muS,7.699117131792811,Priors
1,32,32,muS,7.768281925644566,Priors
1,33,33,muS,7.785298576178055,Priors
1,34,34,muS,7.810352609012267,Priors
1,35,35,muS,7.708582672424997,Priors
1,36,36,muS,7.81743658502095,Priors
1,37,37,muS,7.737314617957694,Priors
1,38,38,muS,7.8087630773364305,Priors
1,39,39,muS,7.823377116695638,Priors
1,40,40,muS,7.660244900695156,Priors
1,41,41,muS,7.798552202677335,Priors
1,42,42,muS,7.735748083218092,Priors
1,43,43,muS,7.716568476915827,Priors
1,44,44,muS,7.720483760793411,Priors
1,45,45,muS,7.652736493932797,Priors
1,46,46,muS,7.694932500358467,Priors
1,47,47,muS,7.77330668340166,Priors
1,48,48,muS,7.709077468980735,Priors
1,49,49,muS,7.74742655456458,Priors
1,50,50,muS,7.651110235869597,Priors
1,51,51,muS,7.754418519466021,Priors
1,52,52,muS,7.782694974004884,Priors
1,53,53,muS,7.67582804057854,Priors
1,54,54,muS,7.708868725111794,Priors
1,55,55,muS,7.711915175205123,Priors
1,56,56,muS,7.668066910763937,Priors
1,57,57,muS,7.832571285044212,Priors
1,58,58,muS,7.682350358617796,Priors
1,59,59,muS,7.750409006690371,Priors
1,60,60,muS,7.7462815160812335,Priors
1,61,61,muS,7.73327631372235,Priors
1,62,62,muS,7.764830694273115,Priors
1,63,63,muS,7.687739077241441,Priors
1,64,64,muS,7.720669462962344,Priors
1,65,65,muS,7.79911491285026,Priors
1,66,66,muS,7.747367133843491,Priors
1,67,67,muS,7.831170218120627,Priors
1,68,68,muS,7.800903477744643,Priors
1,69,69,muS,7.690333628889916,Priors
1,70,70,muS,7.776938194389716,Priors
1,71,71,muS,7.691120102486141,Priors
1,72,72,muS,7.731270398174441,Priors
1,73,73,muS,7.736588598034773,Priors
1,74,74,muS,7.734710061547572,Priors
1,75,75,muS,7.711764244869096,Priors
1,76,76,muS,7.664167838461249,Priors
1,77,77,muS,7.721416453173658,Priors
1,78,78,muS,7.718456201796544,Priors
1,79,79,muS,7.783188559077737,Priors
1,80,80,muS,7.778937967434474,Priors
1,81,81,muS,7.829103799266096,Priors
1,82,82,muS,7.662062474350535,Priors
1,83,83,muS,7.80138137333995,Priors
1,84,84,muS,7.765627761517002,Priors
1,85,85,muS,7.626208321937834,Priors
1,86,86,muS,7.741413325682446,Priors
1,87,87,muS,7.635545516164303,Priors
1,88,88,muS,7.699943004927122,Priors
1,89,89,muS,7.781595292487656,Priors
1,90,90,muS,7.655276794975837,Priors
1,91,91,muS,7.725256312516397,Priors
1,92,92,muS,7.774676863003739,Priors
1,93,93,muS,7.673017312009593,Priors
1,94,94,muS,7.7723806688202135,Priors
1,95,95,muS,7.760026419825848,Priors
1,96,96,muS,7.754769680881876,Priors
1,97,97,muS,7.6816453846708,Priors
1,98,98,muS,7.693106764455091,Priors
1,99,99,muS,7.720552908053509,Priors
1,100,100,muS,7.824792255837903,Priors
1,101,101,muS,7.657029887323421,Priors
1,102,102,muS,7.764699603704905,Priors
1,103,103,muS,7.72407442097313,Priors
1,104,104,muS,7.7217701538409855,Priors
1,105,105,muS,7.816859680383937,Priors
1,106,106,muS,7.774185966295407,Priors
1,107,107,muS,7.777467368428748,Priors
1,108,108,muS,7.707646511777912,Priors
1,109,109,muS,7.719293007147564,Priors
1,110,110,muS,7.729168499497776,Priors
1,111,111,muS,7.75577105943648,Priors
1,112,112,muS,7.64933612336247,Priors
1,113,113,muS,7.71304549391285,Priors
1,114,114,muS,7.735111449166891,Priors
1,115,115,muS,7.698588574264474,Priors
1,116,116,muS,7.690831877282653,Priors
1,117,117,muS,7.781064088817656,Priors
1,118,118,muS,7.661130052038683,Priors
1,119,119,muS,7.776695275610075,Priors
1,120,120,muS,7.716004833785118,Priors
1,121,121,muS,7.68757959258546,Priors
1,122,122,muS,7.756005807452789,Priors
1,123,123,muS,7.844115581772329,Priors
1,124,124,muS,7.674874981477573,Priors
1,125,125,muS,7.772919234217081,Priors
1,126,126,muS,7.745661223206347,Priors
1,127,127,muS,7.740860164300419,Priors
1,128,128,muS,7.759761861027791,Priors
1,129,129,muS,7.723650651678076,Priors
1,130,130,muS,7.751585482238694,Priors
1,131,131,muS,7.684082083669297,Priors
1,132,132,muS,7.663742484356778,Priors
1,133,133,muS,7.699659995506624,Priors
1,134,134,muS,7.714781964850034,Priors
1,135,135,muS,7.72200815364973,Priors
1,136,136,muS,7.703976449306569,Priors
1,137,137,muS,7.751406660061749,Priors
1,138,138,muS,7.811512839540468,Priors
1,139,139,muS,7.801625110510428,Priors
1,140,140,muS,7.705826642744225,Priors
1,141,141,muS,7.810368325978469,Priors
1,142,142,muS,7.75962640115156,Priors
1,143,143,muS,7.727024264941952,Priors
1,144,144,muS,7.658495302902931,Priors
1,145,145,muS,7.668778361937071,Priors
1,146,146,muS,7.7049732547354415,Priors
1,147,147,muS,7.806220358108593,Priors
1,148,148,muS,7.670269674796628,Priors
1,149,149,muS,7.8016132788998585,Priors
1,150,150,muS,7.747353877645274,Priors
1,151,151,muS,7.743830495198922,Priors
1,152,152,muS,7.625005196589296,Priors
1,153,153,muS,7.742118296382732,Priors
1,154,154,muS,7.768417379255358,Priors
1,155,155,muS,7.68204201423263,Priors
1,156,156,muS,7.6827225363884475,Priors
1,157,157,muS,7.722004984099089,Priors
1,158,158,muS,7.756537120249929,Priors
1,159,159,muS,7.702383681787605,Priors
1,160,160,muS,7.688900705402061,Priors
1,161,161,muS,7.697658102081126,Priors
1,162,162,muS,7.726952894686183,Priors
1,163,163,muS,7.689354036205243,Priors
1,164,164,muS,7.765194346046971,Priors
1,165,165,muS,7.712738297212678,Priors
1,166,166,muS,7.681144654781494,Priors
1,167,167,muS,7.734440662454917,Priors
1,168,168,muS,7.822357833776621,Priors
1,169,169,muS,7.724162185669328,Priors
1,170,170,muS,7.738783014650833,Priors
1,171,171,muS,7.728721902442747,Priors
1,172,172,muS,7.73759265530921,Priors
1,173,173,muS,7.691697789078741,Priors
1,174,174,muS,7.829714342116888,Priors
1,175,175,muS,7.751645638366016,Priors
1,176,176,muS,7.736231290799837,Priors
1,177,177,muS,7.77863078771586,Priors
1,178,178,muS,7.66066560041983,Priors
1,179,179,muS,7.723861425950215,Priors
1,180,180,muS,7.7675373859054595,Priors
1,181,181,muS,7.714623767777747,Priors
1,182,182,muS,7.71523958276285,Priors
1,183,183,muS,7.70971152247552,Priors
1,184,184,muS,7.784241331029402,Priors
1,185,185,muS,7.730376417092171,Priors
1,186,186,muS,7.758635752784342,Priors
1,187,187,muS,7.801248685868736,Priors
1,188,188,muS,7.761622592585925,Priors
1,189,189,muS,7.77370015064654,Priors
1,190,190,muS,7.670763356427847,Priors
1,191,191,muS,7.776621916366683,Priors
1,192,192,muS,7.683938727243507,Priors
1,193,193,muS,7.752572777052493,Priors
1,194,194,muS,7.698040970148424,Priors
1,195,195,muS,7.76673018317383,Priors
1,196,196,muS,7.754876414032257,Priors
1,197,197,muS,7.700155623189862,Priors
1,198,198,muS,7.807497823933773,Priors
1,199,199,muS,7.737102673784014,Priors
1,200,200,muS,7.764846304931974,Priors
1,201,201,muS,7.796001965893645,Priors
1,202,202,muS,7.700597607372105,Priors
1,203,203,muS,7.7857320172146816,Priors
1,204,204,muS,7.765457014790097,Priors
1,205,205,muS,7.782009665115197,Priors
1,206,206,muS,7.800931908006732,Priors
1,207,207,muS,7.671684410249946,Priors
1,208,208,muS,7.677421323756059,Priors
1,209,209,muS,7.734402495460553,Priors
1,210,210,muS,7.714033944150081,Priors
1,211,211,muS,7.676855513512398,Priors
1,212,212,muS,7.78629749117535,Priors
1,213,213,muS,7.752906377929092,Priors
1,214,214,muS,7.736577947214261,Priors
1,215,215,muS,7.751457887510532,Priors
1,216,216,muS,7.823708178286776,Priors
1,217,217,muS,7.75435429318981,Priors
1,218,218,muS,7.7273031949785675,Priors
1,219,219,muS,7.795611451588804,Priors
1,220,220,muS,7.690002966152585,Priors
1,221,221,muS,7.743677974875125,Priors
1,222,222,muS,7.811393812039749,Priors
1,223,223,muS,7.693899923042177,Priors
1,224,224,muS,7.706386276507785,Priors
1,225,225,muS,7.774101679486015,Priors
1,226,226,muS,7.701301056271862,Priors
1,227,227,muS,7.713661465767889,Priors
1,228,228,muS,7.7978719467601385,Priors
1,229,229,muS,7.670029443779071,Priors
1,230,230,muS,7.71540011918442,Priors
1,231,231,muS,7.713602694277469,Priors
1,232,232,muS,7.707192444473742,Priors
1,233,233,muS,7.827585712592525,Priors
1,234,234,muS,7.668002874856565,Priors
1,235,235,muS,7.678380612004219,Priors
1,236,236,muS,7.668439269746148,Priors
1,237,237,muS,7.727504029404411,Priors
1,238,238,muS,7.6713232765594155,Priors
1,239,239,muS,7.7365999201271425,Priors
1,240,240,muS,7.697058144595833,Priors
1,241,241,muS,7.709220206733312,Priors
1,242,242,muS,7.6887122565277535,Priors
1,243,243,muS,7.730908918616418,Priors
1,244,244,muS,7.654259747820848,Priors
1,245,245,muS,7.776719670863251,Priors
1,246,246,muS,7.725045864521231,Priors
1,247,247,muS,7.721796066877153,Priors
1,248,248,muS,7.670470924652344,Priors
1,249,249,muS,7.792074193536564,Priors
1,250,250,muS,7.713531924736314,Priors
1,251,251,muS,7.703209373788754,Priors
1,252,252,muS,7.695524070249282,Priors
1,253,253,muS,7.731871027789938,Priors
1,254,254,muS,7.7460455011341445,Priors
1,255,255,muS,7.742764064620318,Priors
1,256,256,muS,7.721116573553366,Priors
1,257,257,muS,7.684439912571784,Priors
1,258,258,muS,7.73898233255486,Priors
1,259,259,muS,7.794019590978182,Priors
1,260,260,muS,7.6811950923180765,Priors
1,261,261,muS,7.727801188894035,Priors
1,262,262,muS,7.6340100945249745,Priors
1,263,263,muS,7.7089385762618985,Priors
1,264,264,muS,7.722665174019749,Priors
1,265,265,muS,7.676388936817045,Priors
1,266,266,muS,7.75404068235037,Priors
1,267,267,muS,7.723597382056663,Priors
1,268,268,muS,7.753676987369938,Priors
1,269,269,muS,7.764851099454129,Priors
1,270,270,muS,7.715975765978252,Priors
1,271,271,muS,7.785413550032189,Priors
1,272,272,muS,7.672019028576115,Priors
1,273,273,muS,7.691716684976524,Priors
1,274,274,muS,7.794262487115508,Priors
